"","y","X0","X1","X2","X3","X5","X6","X8","X12","X13","X14","X19","X20","X22","X27","X31","X35","X37","X43","X45","X46","X49","X50","X51","X58","X64","X68","X70","X71","X80","X81","X84","X85","X96","X98","X100","X101","X103","X114","X115","X116","X118","X119","X127","X129","X132","X133","X137","X139","X142","X144","X150","X151","X154","X155","X156","X157","X158","X161","X163","X164","X168","X171","X177","X178","X180","X181","X182","X186","X187","X189","X191","X194","X201","X202","X208","X209","X215","X218","X219","X220","X223","X224","X225","X234","X238","X241","X244","X246","X247","X250","X251","X256","X261","X265","X273","X275","X283","X285","X286","X294","X300","X301","X304","X311","X313","X314","X316","X321","X324","X327","X329","X331","X334","X336","X337","X343","X348","X350","X351","X352","X354","X355","X356","X358","X360","X362","X363","X367","X368","X374","X375","X376","X377"
"1",130.81,"k","v","at","a","u","j","o","0","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"2",88.53,"k","t","av","e","y","l","o","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","1","1","1","1","1","0","0","0","0","1","1","1","0","1","0","0","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","1","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0"
"3",76.26,"az","w","n","c","x","j","x","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0","1","1","0","1","1","1","1","0","1","1","1","1","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","1","1","1","1","0","0","0","1","1","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0"
"4",80.62,"az","t","n","f","x","l","e","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0","0","0","0","0","1","1","1","0","1","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","1","0","0","0","0","1","1","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"5",78.02,"az","v","n","f","h","d","n","0","0","0","0","0","0","1","1","1","1","1","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","1","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","1","1","0","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0"
"6",92.93,"t","b","e","c","g","h","s","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","1","0","1","0","1","0","1","0","0","0","0","1","1","1","1","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","0","1","0","0","0","1","1","0","0","0","1","0","1","0","0","0","0","0","0","1","1","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"7",128.76,"al","r","e","f","f","h","s","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","1","1","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","1","1","0","0","1","0","0","0"
"8",91.91,"o","l","as","f","f","j","a","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","1","0","1","0","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","0","1","0","0","0","1","1","1","1","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","0","1","1","1","1","0","0","0","1","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0"
"9",108.67,"w","s","as","e","f","i","h","0","0","1","0","0","0","1","0","0","0","0","0","0","1","1","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","0","0","0","1","1","0","1","1","0","1","0","0","1","1","1","0","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","1","0","0","1","0","1","1","1","1","0","1","0","0","1","0","1","1","0","1","0","0","1","0","1","0","0","1","1","0","1","1","1","0","1","0","0","1","0","0","1","0","0","0","1","0","0"
"10",126.99,"j","b","aq","c","f","a","e","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","1","1","0","1","0","0","0","1","1","1","1","1","0","0","0","1","1","0","0","0","1","1","0","1","1","1","0","0","0","0","1","0","1","1","0","0","1","0","1","0","1","0","1","0","1","1","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","1","1","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","1"
"11",102.09,"h","r","r","f","f","h","p","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"12",98.12,"al","r","e","f","f","h","o","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","1","1","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","1","1","0","0","1","0","0","0"
"13",82.62,"s","b","ai","c","f","g","m","0","0","0","1","0","0","1","1","1","1","0","1","1","1","1","1","1","0","0","1","0","1","0","0","0","0","1","0","1","1","0","1","1","0","0","1","1","0","1","1","0","1","0","0","0","0","0","1","0","0","1","1","0","0","1","0","1","0","1","0","1","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","0","0","1","1","0","0","0","1","1","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1"
"14",94.12,"al","r","e","f","j","h","o","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","1","0","0","0","1","1","0","1","1","0","1","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","1","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","1","1","0","0","1","0","0","0"
